ticker,trust_name,commodity,ribawi_metal,physical_backing,allocation_status,retail_physical_redemption,ap_only_redemption,interest_bearing_cash,securities_lending,aaoifi_gold_standard_status,suggested_status_tier,confidence,notes
CEF,Sprott Physical Gold and Silver Trust,Gold + Silver,Yes,Yes - fully allocated gold and silver LGD bars,Allocated,Likely Yes under same Sprott physical-redemption framework; specific minimum lot for this trust not individually confirmed,No traditional AP mechanism - closed-end trust,Not confirmed,No indication of lending found,Not certified / not found,Likely meets criteria (uncertified),Structure confirmed; redemption lot size for this specific trust not individually verified,Combined gold/silver version of the Sprott physical trust family.
SPPP,Sprott Physical Platinum and Palladium Trust,Platinum + Palladium,No - platinum/palladium are not classified as ribawi/monetary metals under classical fiqh,Yes - fully allocated Good Delivery platinum/palladium bullion,Allocated,Likely Yes under same Sprott framework; specific minimum lot not individually confirmed,No traditional AP mechanism - closed-end trust,Not confirmed,No indication of lending found,"N/A - AAOIFI Standard 57 covers gold/silver, not platinum/palladium",Likely meets criteria (uncertified) - simpler screen since not ribawi,Structure confirmed; redemption lot size not individually verified,"Because it is not a ribawi metal, the Bai' al-Sarf possession debate does not apply; main screen is just riba/lending/business-activity."
SIVR,abrdn Physical Silver Shares ETF,Silver,Yes,"Yes - allocated (presumed, same sponsor/family as SGOL)",Allocated (inferred),No - standard AP redemption (inferred),Yes (inferred),Not confirmed,Not confirmed,Not certified / not found,Not yet individually assessed,Inferred from abrdn family structure - not individually verified,Same sponsor as SGOL/PPLT/PALL/GLTR; individual prospectus not separately reviewed.
PPLT,abrdn Physical Platinum Shares ETF,Platinum,No,"Yes - allocated (presumed, same sponsor/family as SGOL)",Allocated (inferred),No - standard AP redemption (inferred),Yes (inferred),Not confirmed,Not confirmed,N/A - not covered by AAOIFI Standard 57,Not yet individually assessed,Inferred from abrdn family structure - not individually verified,Not ribawi - simpler screen if structure confirmed (riba/lending focus only).
PALL,abrdn Physical Palladium Shares ETF,Palladium,No,"Yes - allocated (presumed, same sponsor/family as SGOL)",Allocated (inferred),No - standard AP redemption (inferred),Yes (inferred),Not confirmed,Not confirmed,N/A - not covered by AAOIFI Standard 57,Not yet individually assessed,Inferred from abrdn family structure - not individually verified,Not ribawi - simpler screen if structure confirmed (riba/lending focus only).
PLTM,GraniteShares Platinum Trust,Platinum,No,"Yes - allocated bullion (presumed, same sponsor/family as BAR)",Allocated (inferred),Possibly Yes if same monthly redemption feature as BAR applies - not individually confirmed,Standard AP mechanism also presumed,"Likely No, by analogy to BAR's confirmed no-cash-reserve policy - not individually confirmed","Likely No, by analogy to BAR's explicit no-lending confirmation - not individually confirmed",N/A - not covered by AAOIFI Standard 57,Not yet individually assessed,Inferred from GraniteShares (BAR) family pattern - not individually verified,Same sponsor as BAR; BAR's clean no-lending/no-derivatives profile is a reasonable but unconfirmed starting assumption.
GLTR,abrdn Physical Precious Metals Basket Shares ETF,Gold + Silver + Platinum + Palladium (basket),"Mixed - basket contains both ribawi (gold, silver) and non-ribawi (platinum, palladium) metals","Yes - allocated basket (presumed, same sponsor family)",Allocated (inferred),No - standard AP redemption (inferred),Yes (inferred),Not confirmed,Not confirmed,"Not applicable as a whole - the gold/silver portion would need to separately satisfy Standard 57, the platinum/palladium portion does not",Most complex to screen - mixed ribawi/non-ribawi composition,Inferred from abrdn family structure - not individually verified,"Because it mixes ribawi and non-ribawi metals in a single instrument, a clean single label is hardest to justify here; flag for manual scholar review."
SCOP,Sprott Physical Copper Trust,Copper,No,Yes - holds substantially all assets in physical copper,Not confirmed - allocated/unallocated split not individually verified,"Unclear - trust agreement was amended in 2026 to monthly, uncapped redemptions, consistent with the Sprott physical-trust pattern, but whether this is redemption for cash vs. for physical copper was not confirmed",No traditional AP mechanism - closed-end trust with ATM issuance program,Not confirmed,Not confirmed,N/A - not covered by AAOIFI Standard 57,"Not yet assessed - newest listing, least public documentation",General structure confirmed via Sprott/SEC filings; redemption-for-metal mechanics not confirmed,Began trading on NYSE Arca under SCOP in May 2026; previously TSX-only as COP.UN. World's first physical copper fund per Sprott.
SRUUF,Sprott Physical Uranium Trust,Uranium,No,Yes - holds U3O8 (uranium oxide concentrate) and UF6,Not confirmed,Not confirmed / unlikely in practice - no evidence found of an individual physical-delivery option comparable to the metal trusts,"No traditional AP mechanism - closed-end trust, ATM issuance",Not confirmed,Not confirmed,N/A - not covered by AAOIFI Standard 57,Not yet assessed,General structure confirmed; redemption and cash/lending mechanics not individually verified,"Trades OTC in the US (SRUUF), not on NYSE/Nasdaq - primary listing is Toronto Stock Exchange. Uranium's end-use (nuclear fuel) may also warrant a separate business-activity review beyond structural screening."
SLV,iShares Silver Trust,Silver,Yes,"Yes, but pooled/unallocated - a share represents an undivided interest in a bullion pool, not specific allocated bars",Unallocated (pooled),"No - AP-only, large baskets",Yes,Yes - prospectus allows surplus cash to be held in interest-bearing deposits or T-bills to pay expenses,"Yes - trust retains the right to lend silver, and may use derivatives for hedging","Not certified; commonly flagged as failing screens on allocation, interest income, and lending grounds",Contested / commonly flagged non-compliant under strict screens,Reasonably well confirmed across multiple sources discussing SLV's specific structure,"Most frequently cited as the weakest case among gold/silver products reviewed - unallocated pool, explicit interest-bearing cash allowance, and explicit lending rights are three separate red flags under common AAOIFI-style screens."
